        soln	      dist_x	        time	          pH	          pe	          Cl	          Ca	          Mg	          Na	           K	          Al	          Br	          Cd	          Zn	          Pb	           C	      m_CaX2	      m_MgX2	       m_NaX	        m_KX	      m_AlX3	      m_CdX2	      m_ZnX2	      m_PbX2	
          11	          -2	           0	         5.5	           4	 1.0000e-007	 1.0000e-007	 7.5000e-004	 6.0000e-003	 2.0000e-003	 5.0000e-004	 1.1152e-002	 9.0000e-005	 2.5000e-004	 1.0000e-004	 0.0000e+000	 6.7673e-007	 3.2024e-003	 1.3034e-003	 2.1775e-003	 1.3245e-003	 3.8545e-004	 1.6914e-003	 7.5828e-004	
          11	          -2	         0.1	     5.49777	     12.9848	 6.0973e-005	 2.5518e-007	 7.5483e-004	 5.9903e-003	 2.0050e-003	 5.0106e-004	 1.1107e-002	 9.0937e-005	 2.5159e-004	 1.0081e-004	 0.0000e+000	 1.7166e-006	 3.2038e-003	 1.2974e-003	 2.1765e-003	 1.3258e-003	 3.8558e-004	 1.6918e-003	 7.5846e-004	
          11	          -2	         0.2	     5.47849	     13.0064	 4.3331e-004	 1.9635e-006	 7.9343e-004	 5.8965e-003	 2.0363e-003	 5.0711e-004	 1.0829e-002	 9.7871e-005	 2.6423e-004	 1.0706e-004	 0.0000e+000	 1.2614e-005	 3.2160e-003	 1.2480e-003	 2.1601e-003	 1.3388e-003	 3.8668e-004	 1.6958e-003	 7.6027e-004	
          11	          -2	         0.3	      5.4407	     13.0662	 9.6519e-004	 7.5860e-006	 8.6464e-004	 5.7076e-003	 2.0697e-003	 5.1457e-004	 1.0433e-002	 1.1001e-004	 2.8761e-004	 1.1846e-004	 0.0000e+000	 4.4989e-005	 3.2354e-003	 1.1607e-003	 2.1095e-003	 1.3666e-003	 3.8758e-004	 1.7025e-003	 7.6362e-004	
          11	          -2	         0.4	     5.39181	      13.128	 1.5236e-003	 2.0582e-005	 9.5200e-004	 5.4676e-003	 2.0825e-003	 5.2133e-004	 1.0017e-002	 1.2431e-004	 3.1672e-004	 1.3282e-004	 0.0000e+000	 1.1123e-004	 3.2463e-003	 1.0614e-003	 2.0263e-003	 1.4052e-003	 3.8509e-004	 1.7070e-003	 7.6641e-004	
          11	          -2	         0.5	     5.33738	     13.2011	 2.0624e-003	 4.4719e-005	 1.0418e-003	 5.2086e-003	 2.0725e-003	 5.2733e-004	 9.6152e-003	 1.3813e-004	 3.4744e-004	 1.4830e-004	 0.0000e+000	 2.2014e-004	 3.2359e-003	 9.6505e-004	 1.9245e-003	 1.4504e-003	 3.7687e-004	 1.7042e-003	 7.6607e-004	
          11	          -2	         0.6	     5.28029	     13.2913	 2.5669e-003	 8.2771e-005	 1.1253e-003	 4.9482e-003	 2.0446e-003	 5.3286e-004	 9.2393e-003	 1.4981e-004	 3.7682e-004	 1.6348e-004	 0.0000e+000	 3.7305e-004	 3.2001e-003	 8.7723e-004	 1.8166e-003	 1.4996e-003	 3.6286e-004	 1.6908e-003	 7.6068e-004	
          11	          -2	         0.7	     5.22173	     13.3746	 3.0339e-003	 1.3569e-004	 1.1983e-003	 4.6950e-003	 2.0045e-003	 5.3803e-004	 8.8912e-003	 1.5871e-004	 4.0301e-004	 1.7734e-004	 0.0000e+000	 5.6384e-004	 3.1418e-003	 7.9922e-004	 1.7102e-003	 1.5509e-003	 3.4467e-004	 1.6661e-003	 7.4948e-004	
          11	          -2	         0.8	     5.16187	     13.4522	 3.4644e-003	 2.0256e-004	 1.2595e-003	 4.4530e-003	 1.9566e-003	 5.4277e-004	 8.5705e-003	 1.6491e-004	 4.2506e-004	 1.8928e-004	 0.0000e+000	 7.8188e-004	 3.0675e-003	 7.3058e-004	 1.6089e-003	 1.6032e-003	 3.2434e-004	 1.6312e-003	 7.3288e-004	
          11	          -2	         0.9	     5.10024	     13.5173	 3.8608e-003	 2.8121e-004	 1.3095e-003	 4.2238e-003	 1.9042e-003	 5.4700e-004	 8.2750e-003	 1.6879e-004	 4.4274e-004	 1.9908e-004	 0.0000e+000	 1.0155e-003	 2.9836e-003	 6.7027e-004	 1.5144e-003	 1.6563e-003	 3.0353e-004	 1.5886e-003	 7.1201e-004	
          11	          -2	           1	     5.03586	     13.8112	 4.2261e-003	 3.6887e-004	 1.3496e-003	 4.0080e-003	 1.8493e-003	 5.5069e-004	 8.0028e-003	 1.7081e-004	 4.5626e-004	 2.0677e-004	 0.0000e+000	 1.2543e-003	 2.8956e-003	 6.1717e-004	 1.4272e-003	 1.7103e-003	 2.8329e-004	 1.5407e-003	 6.8823e-004	
          11	          -2	         1.1	     4.96725	     14.3646	 4.5631e-003	 4.6279e-004	 1.3813e-003	 3.8050e-003	 1.7933e-003	 5.5393e-004	 7.7517e-003	 1.7141e-004	 4.6605e-004	 2.1252e-004	 0.0000e+000	 1.4905e-003	 2.8070e-003	 5.7024e-004	 1.3470e-003	 1.7662e-003	 2.6420e-004	 1.4898e-003	 6.6279e-004	
          11	          -2	         1.2	      4.8923	     14.4498	 4.8746e-003	 5.6053e-004	 1.4060e-003	 3.6145e-003	 1.7373e-003	 5.5686e-004	 7.5195e-003	 1.7092e-004	 4.7262e-004	 2.1657e-004	 0.0000e+000	 1.7187e-003	 2.7201e-003	 5.2854e-004	 1.2733e-003	 1.8247e-003	 2.4650e-004	 1.4377e-003	 6.3668e-004	
