 All solute fluxes and cumulative solute fluxes are positive into the region

       Time       cvTop      cvBot    Sum(cvTop) Sum(cvBot)   cvCh0      cvCh1       cTop      cRoot       cBot      cvRoot   Sum(cvRoot) Sum(cvNEql) TLevel
        [T]      [M/L2/T]   [M/L2/T]    [M/L2]     [M/L2]     [M/L2]     [M/L2]      [M/L3]    [M/L3]      [M/L3]   [M/L2/T]    [M/L2]      [M/L2]
       1.00000   .100E+01   .000E+00   .100E+01   .000E+00   .000E+00   .000E+00   .753E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00       1
       1.38475   .100E+01   .000E+00   .138E+01   .000E+00   .000E+00  -.192E-02   .901E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00       2
       1.87637   .100E+01   .000E+00   .188E+01   .000E+00   .000E+00  -.531E-02   .103E+01   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00       3
       2.43251   .100E+01   .000E+00   .243E+01   .000E+00   .000E+00  -.105E-01   .110E+01   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00       4
       2.95260   .100E+01   .000E+00   .295E+01   .000E+00   .000E+00  -.168E-01   .113E+01   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00       5
       3.49924   .100E+01   .000E+00   .350E+01   .000E+00   .000E+00  -.248E-01   .114E+01   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00       6
       4.01730   .100E+01   .000E+00   .402E+01   .000E+00   .000E+00  -.338E-01   .112E+01   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00       7
       4.56462   .100E+01   .000E+00   .456E+01   .000E+00   .000E+00  -.447E-01   .110E+01   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00       8
       5.08002   .100E+01   .000E+00   .508E+01   .000E+00   .000E+00  -.563E-01   .108E+01   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00       9
       5.62822   .100E+01   .000E+00   .563E+01   .000E+00   .000E+00  -.701E-01   .105E+01   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00      10
       6.13998   .100E+01   .000E+00   .614E+01   .000E+00   .000E+00  -.843E-01   .103E+01   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00      11
       6.68940   .100E+01   .000E+00   .669E+01   .000E+00   .000E+00  -.101E+00   .101E+01   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00      12
       7.19577   .100E+01   .000E+00   .720E+01   .000E+00   .000E+00  -.118E+00   .999E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00      13
       7.70214   .100E+01   .000E+00   .770E+01   .000E+00   .000E+00  -.135E+00   .990E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00      14
       8.20851   .100E+01   .000E+00   .821E+01   .000E+00   .000E+00  -.155E+00   .984E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00      15
       8.71488   .100E+01   .000E+00   .871E+01   .000E+00   .000E+00  -.175E+00   .981E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00      16
       9.22126   .100E+01   .000E+00   .922E+01   .000E+00   .000E+00  -.197E+00   .980E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00      17
       9.72763   .100E+01   .000E+00   .973E+01   .000E+00   .000E+00  -.219E+00   .981E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00      18
      10.23400   .100E+01   .000E+00   .102E+02   .000E+00   .000E+00  -.243E+00   .983E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00      19
      10.78522   .100E+01   .000E+00   .108E+02   .000E+00   .000E+00  -.271E+00   .985E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00      20
      11.25491   .100E+01   .000E+00   .113E+02   .000E+00   .000E+00  -.296E+00   .988E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00      21
      11.72461   .100E+01   .000E+00   .117E+02   .000E+00   .000E+00  -.321E+00   .991E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00      22
      12.19430   .100E+01   .000E+00   .122E+02   .000E+00   .000E+00  -.348E+00   .993E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00      23
      12.66400   .100E+01   .000E+00   .127E+02   .000E+00   .000E+00  -.376E+00   .995E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00      24
      13.20400   .100E+01   .000E+00   .132E+02   .000E+00   .000E+00  -.409E+00   .998E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00      25
      13.74400   .100E+01   .000E+00   .137E+02   .000E+00   .000E+00  -.443E+00   .999E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00      26
      14.28400   .100E+01   .000E+00   .143E+02   .000E+00   .000E+00  -.479E+00   .100E+01   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00      27
      14.82400   .100E+01   .000E+00   .148E+02   .000E+00   .000E+00  -.517E+00   .100E+01   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00      28
      15.36400   .100E+01   .000E+00   .154E+02   .000E+00   .000E+00  -.555E+00   .100E+01   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00      29
      15.90401   .100E+01   .000E+00   .159E+02   .000E+00   .000E+00  -.595E+00   .100E+01   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00      30
      16.44401   .100E+01   .000E+00   .164E+02   .000E+00   .000E+00  -.636E+00   .100E+01   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00      31
      16.98401   .100E+01   .000E+00   .170E+02   .000E+00   .000E+00  -.679E+00   .100E+01   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00      32
      17.52402   .100E+01   .000E+00   .175E+02   .000E+00   .000E+00  -.723E+00   .100E+01   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00      33
      17.92901   .100E+01   .000E+00   .179E+02   .000E+00   .000E+00  -.757E+00   .100E+01   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00      34
      18.33400   .100E+01   .000E+00   .183E+02   .000E+00   .000E+00  -.792E+00   .999E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00      35
      18.91901   .100E+01   .000E+00   .189E+02   .000E+00   .000E+00  -.843E+00   .999E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00      36
      19.39601   .100E+01   .000E+00   .194E+02   .000E+00   .000E+00  -.886E+00   .998E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00      37
      19.95701   .100E+01   .000E+00   .200E+02   .000E+00   .000E+00  -.938E+00   .998E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00      38
      20.40601   .100E+01   .000E+00   .204E+02   .000E+00   .000E+00  -.980E+00   .998E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00      39
      20.85501   .100E+01   .000E+00   .209E+02   .000E+00   .000E+00  -.102E+01   .998E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00      40
      21.30400   .100E+01   .000E+00   .213E+02   .000E+00   .000E+00  -.107E+01   .998E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00      41
      21.84400   .100E+01   .000E+00   .218E+02   .000E+00   .000E+00  -.112E+01   .998E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00      42
      22.38400   .100E+01   .000E+00   .224E+02   .000E+00   .000E+00  -.118E+01   .998E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00      43
      22.92400   .100E+01   .000E+00   .229E+02   .000E+00   .000E+00  -.124E+01   .998E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00      44
      23.46400   .100E+01   .000E+00   .235E+02   .000E+00   .000E+00  -.129E+01   .998E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00      45
      24.00400   .100E+01   .000E+00   .240E+02   .000E+00   .000E+00  -.135E+01   .998E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00      46
      24.54400   .100E+01   .000E+00   .245E+02   .000E+00   .000E+00  -.142E+01   .998E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00      47
      25.08400   .100E+01   .000E+00   .251E+02   .000E+00   .000E+00  -.148E+01   .998E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00      48
      25.62400   .100E+01   .000E+00   .256E+02   .000E+00   .000E+00  -.154E+01   .998E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00      49
      26.16401   .100E+01   .000E+00   .262E+02   .000E+00   .000E+00  -.161E+01   .998E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00      50
      26.70401   .100E+01   .000E+00   .267E+02   .000E+00   .000E+00  -.167E+01   .998E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00      51
      27.24402   .100E+01   .000E+00   .272E+02   .000E+00   .000E+00  -.174E+01   .998E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00      52
